-0.20412 -0.35355-0.002336i -0.36075+0.002023i 0.16656+0.000425i -0.30347+0.004367i -0.068164-0.000141i 0.44663-0.004943i -0.21391+0.00983i 0.28868 0.4173+0.041703i -0.19559-0.003882i 0.18834+0.019645i
-0.20412 0.35355+0.002336i -0.1129-0.008376i -0.30856-0.002627i 0.37676+0.004278i -0.23342-0.000174i 0.30288-0.005499i -0.32194+0.010215i 0.28868 -0.060276-0.004353i 0.47971-3.7e-05i 0.12738-0.000342i
0.40825 0 0.47365+0.006353i 0.14199+0.002202i -0.073297-0.008645i -0.28089-8.8e-05i 0.40049-0.003324i -0.10319+0.0069i 0.28868 -0.03751-0.009201i -0.072518+0.007501i -0.49223-0.029978i
-0.20412 -0.35355-0.002336i 0.25373+0.008376i -0.17084+0.002627i -0.3954-0.004278i -0.25473+0.000187i -0.20059+0.005733i 0.38044-0.010376i 0.28868 -0.039571-0.002861i 0.49074+0.00064i 0.087109-0.002789i
-0.20412 0.35355+0.002336i 0.21992-0.002023i 0.31283-0.000425i 0.3221-0.004367i -0.089469+0.00022i -0.056834+0.006289i 0.48848-0.010761i 0.28868 0.438+0.043195i -0.18455-0.003205i 0.14807+0.017198i
0.40825 0 -0.47365-0.006353i -0.14199-0.002202i 0.073297+0.008645i -0.29618+0.000171i 0.039221+0.004736i 0.40082-0.007876i 0.28868 -0.3852-0.034267i -0.25779-0.003872i 0.18399+0.011115i
-0.20412 -0.35355-0.002336i -0.25373-0.008376i 0.17084-0.002627i 0.3954+0.004278i -0.13414-3e-05i -0.44862+0.000207i -0.17535-0.001955i 0.28868 -0.018085-0.007436i -0.030449+0.007754i -0.49768-0.03076i
-0.20412 0.35355+0.002336i 0.1129+0.008376i 0.30856+0.002627i -0.37676-0.004278i -0.12812-0.000132i -0.30643-0.002965i -0.37372+0.003861i 0.28868 -0.38648-0.033994i -0.22676-0.004296i 0.21881+0.01278i
0.40825 0 0.14083 -0.4794 -0.018634 0.078585-8.3e-05i -0.40248-0.001412i -0.28606+0.000976i 0.28868 0.43672+0.043468i -0.15352-0.003629i 0.18289+0.018863i
-0.20412 -0.35355-0.002336i 0.36075-0.002023i -0.16656-0.000425i 0.30347-0.004367i 0.45703-1.6e-05i 0.20258-0.000997i 0.00881+0.002501i 0.28868 -0.35964-0.031406i -0.26471-0.004512i 0.22223+0.013904i
-0.20412 0.35355+0.002336i -0.21992+0.002023i -0.31283+0.000425i -0.3221+0.004367i 0.45101+8.6e-05i 0.060386+0.002175i 0.20718-0.003315i 0.28868 0.008755-0.004848i -0.068402+0.007538i -0.49425-0.029636i
0.40825 0 -0.14083 0.4794 0.018634 0.49848 -0.037233 -0.011568 0.28868 -0.01401 0.48383 0.12536
-0.32074-0.14874i -0.18531 -0.10659-0.000432i -0.45585+0.003917i -0.35351-0.005592i 0.22425-0.002753i 0.21402-7e-05i -0.221 -0.3011 0.4217-4e-06i 0.083016+5.3e-05i 0.27597
0.32074+0.14874i -0.18531 0.20342-0.000432i -0.42164+0.003917i 0.35351+0.005592i 0.23477-0.002753i -0.20242-7e-05i -0.221 -0.3011 -0.42952-4e-06i 0.01512+5.3e-05i 0.27597
0 0.42582 -0.027232+0.000243i 0.24677-0.002203i 0 0.55458-0.006653i 0.014014-0.000168i -0.39028 -0.26207 0.02873+3.1e-05i -0.36019-0.000389i -0.31255
-0.32074-0.14874i -0.18531 0.10659+0.000432i 0.45585-0.003917i -0.35351-0.005592i -0.22425+0.002753i -0.21402+7e-05i -0.221 -0.3011 -0.4217+4e-06i -0.083016-5.3e-05i 0.27597
0.32074+0.14874i -0.18531 -0.20342+0.000432i 0.42164-0.003917i 0.35351+0.005592i -0.23477+0.002753i 0.20242+7e-05i -0.221 -0.3011 0.42952+4e-06i -0.01512-5.3e-05i 0.27597
0 0.42582 0.027232-0.000243i -0.24677+0.002203i 0 -0.55458+0.006653i -0.014014+0.000168i -0.39028 -0.26207 -0.02873-3.1e-05i 0.36019+0.000389i -0.31255
-0.32074-0.14874i -0.18531 -0.42166-0.000153i -0.20342+0.001384i 0.35351+0.005592i -0.20241+0.002498i -0.23479+6.3e-05i 0.221 -0.3011 -0.01512+3.7e-05i -0.42952-0.00046i -0.27597
0.32074+0.14874i -0.18531 -0.45587+0.000153i 0.10658-0.001384i -0.35351-0.005592i 0.21401-0.002498i -0.22427-6.3e-05i 0.221 -0.3011 -0.083016-3.7e-05i 0.42169+0.00046i -0.27597
0 0.42582 0.24678 0.027233 0 0.014015 -0.55462 0.39028 -0.26207 0.36019 0.02873 0.31255
-0.32074-0.14874i -0.18531 0.42166+0.000153i 0.20342-0.001384i 0.35351+0.005592i 0.20241-0.002498i 0.23479-6.3e-05i 0.221 -0.3011 0.01512-3.7e-05i 0.42952+0.00046i -0.27597
0.32074+0.14874i -0.18531 0.45587-0.000153i -0.10658+0.001384i -0.35351-0.005592i -0.21401+0.002498i 0.22427+6.3e-05i 0.221 -0.3011 0.083016+3.7e-05i -0.42169-0.00046i -0.27597
0 0.42582 -0.24678 -0.027233 0 -0.014015 0.55462 0.39028 -0.26207 -0.36019 -0.02873 0.31255
-0.35355-0.000209i -0.13778 0.36579-0.31456i -0.11173-0.001879i -0.35118+0.040915i 0.19984-0.003288i 0.03232+0.00381i -0.21124 -0.3256 0.45437+5.7e-05i 0.085319-0.005026i 0.28351
