     1       -0.353870 -0.006087  0.203484 -0.000039  0.000000  0.000000
     1        0.353131  0.006108  0.204764  0.000018  0.000000  0.000000
     1        0.000739 -0.000020 -0.408248  0.000021  0.000000  0.000000
     2       -0.353870 -0.006096  0.203484 -0.000011  0.408248  0.000000
     2        0.353131  0.006116  0.204764  0.000046 -0.408248  0.000000
     2        0.000739 -0.000020 -0.408248 -0.000004  0.000000  0.000000
     3       -0.353869 -0.006116  0.203484 -0.000046 -0.408248  0.000000
     3        0.353130  0.006129  0.204764  0.000030  0.000000  0.000000
     3        0.000739 -0.000041 -0.408248  0.000000  0.408248  0.000000
     4       -0.353869 -0.006109  0.203484 -0.000027  0.000000  0.000000
     4        0.353130  0.006137  0.204764  0.000011  0.408248  0.000000
     4        0.000739  0.000000 -0.408248  0.000000 -0.408248  0.000000

--
     1        0.090877 -0.005153 -0.491642  0.001761  0.495376  0.063885
     1        0.380269 -0.005116  0.324601  0.001877  0.495376  0.063885
     1       -0.471146  0.010269  0.167041 -0.003638  0.495376  0.063885
     2       -0.283804  0.005168 -0.052520 -0.001832 -0.168003  0.000000
     2       -0.187340  0.005168  0.219561 -0.001830 -0.168003  0.000000
     2        0.471147 -0.010210 -0.167042  0.003618 -0.165543  0.000191
     3        0.283804 -0.005168  0.052520  0.001830 -0.168003  0.000000
     3       -0.380270  0.005069 -0.324600 -0.001917 -0.165543  0.000191
     3        0.096464 -0.000002  0.272081  0.000001 -0.168003  0.000000
     4       -0.090877  0.005141  0.491642 -0.001700 -0.165543  0.000191
     4        0.187340 -0.005166 -0.219561  0.001831 -0.168003  0.000000
     4       -0.096464  0.000000 -0.272081  0.000000 -0.168003  0.000000

--
     1        0.000455 -0.000011 -0.001686  0.000038 -0.287174 -0.037185
     1        0.001219  0.000207  0.001233  0.000036 -0.287174 -0.037185
     1       -0.001674 -0.000196  0.000453 -0.000074 -0.287174 -0.037185
     2       -0.449791 -0.062921  0.124019 -0.017190 -0.288376  0.000000
     2       -0.450545 -0.063174  0.121102 -0.017323 -0.288376  0.000000
     2       -0.450994 -0.063227  0.122790 -0.017271 -0.288375 -0.000117
     3        0.326389  0.063174  0.333356  0.017323 -0.288376  0.000000
     3        0.328047  0.063478  0.332899  0.017407 -0.288375 -0.000117
     3        0.328508  0.063457  0.331214  0.017336 -0.288376  0.000000
     4        0.122947 -0.000252 -0.455689 -0.000136 -0.288375 -0.000117
     4        0.121284 -0.000536 -0.455233 -0.000147 -0.288376  0.000000
     4        0.124156  0.000000 -0.454459  0.000000 -0.288376  0.000000

--
     1       -0.496834 -0.002032  0.056112 -0.000142  0.001747  0.000041
     1        0.199824  0.000690 -0.458330  0.000032  0.001747  0.000041
     1        0.297010  0.001342  0.402219  0.000110  0.001747  0.000041
     2        0.297849  0.001136 -0.325582  0.000093  0.235119  0.000000
     2       -0.398809 -0.001567  0.188860 -0.000096  0.235119  0.000000
     2        0.098025  0.000445  0.132748  0.000039 -0.471984 -0.000006
     3        0.362960  0.001567  0.250952  0.000096  0.235119  0.000000
     3        0.065950  0.000229 -0.151267  0.000007 -0.471984 -0.000006
     3       -0.430884 -0.001785 -0.095156 -0.000145  0.235119  0.000000
     4       -0.163975 -0.000674  0.018519 -0.000046 -0.471984 -0.000006
     4        0.133035  0.000649  0.420738  0.000053  0.235119  0.000000
     4        0.035849  0.000000 -0.439811  0.000000  0.235119  0.000000

