500000 25000
126 625 99876 -1243.75 2919.71 2706.01
127 630 99875 -1417.64 2968.6 2766.55
128 635 99874 -1586.03 3006.46 2816.44
129 640 99873 -1747.98 3033.07 2854.95
130 645 99872 -1902.55 3048.38 2881.47
131 650 99871 -2048.81 3052.44 2895.51
132 655 99870 -2185.86 3045.39 2896.8
133 660 99869 -2312.76 3027.47 2885.27
134 665 99868 -2428.63 2998.96 2861.09
135 670 99867 -2532.53 2960.23 2824.67
136 675 99866 -2623.54 2911.75 2776.57
137 680 99865 -2700.71 2854.1 2717.49
138 685 99864 -2763.14 2787.94 2648.21
139 690 99863 -2810.01 2714.01 2569.57
140 695 99862 -2840.6 2633.07 2482.47
141 700 99861 -2854.37 2545.86 2387.81
142 705 99860 -2850.91 2453.03 2286.54
143 710 99859 -2830.01 2355.19 2179.63
144 715 99858 -2791.63 2252.84 2068.02
145 720 99857 -2735.88 2146.44 1952.63
146 725 99856 -2663.04 2036.44 1834.31
147 730 99855 -2573.57 1923.29 1713.79
148 735 99854 -2468.1 1807.46 1591.69
149 740 99853 -2347.46 1689.39 1468.46
150 745 99852 -2212.68 1569.42 1344.41
151 750 99851 -2064.99 1447.78 1219.73
152 755 99850 -1905.75 1324.49 1094.53
153 760 99849 -1736.39 1199.44 968.861
154 765 99848 -1558.44 1072.43 842.728
155 770 99847 -1373.41 943.283 716.121
156 775 99846 -1182.84 811.921 588.995
157 780 99845 -988.295 678.444 461.257
158 785 99844 -791.341 543.105 332.765
159 790 99843 -593.555 406.251 203.323
160 795 99842 -396.495 268.209 72.7133
161 800 99841 -201.673 129.188 -59.27
162 805 99840 -10.5197 -10.7716 -192.787
163 810 99839 175.645 -151.792 -327.905
164 815 99838 355.642 -294.051 -464.568
165 820 99837 528.46 -437.652 -602.581
166 825 99836 693.28 -582.475 -741.601
167 830 99835 849.494 -728.096 -881.155
168 835 99834 996.705 -873.773 -1020.65
169 840 99833 1134.71 -1018.53 -1159.42
170 845 99832 1263.42 -1161.31 -1296.73
171 850 99831 1382.83 -1301.13 -1431.87
172 855 99830 1492.92 -1437.24 -1564.12
173 860 99829 1593.6 -1569.15 -1692.82
174 865 99828 1684.72 -1696.62 -1817.3
175 870 99827 1766.07 -1819.5 -1936.91
176 875 99826 1837.44 -1937.66 -2050.93
177 880 99825 1898.72 -2050.78 -2158.56
178 885 99824 1949.99 -2158.3 -2258.89
179 890 99823 1991.53 -2259.48 -2350.98
180 895 99822 2023.85 -2353.42 -2433.89
181 900 99821 2047.61 -2439.29 -2506.84
182 905 99820 2063.58 -2516.4 -2569.26
183 910 99819 2072.46 -2584.35 -2620.85
184 915 99818 2074.8 -2642.98 -2661.62
185 920 99817 2070.96 -2692.35 -2691.78
186 925 99816 2061.05 -2732.62 -2711.67
187 930 99815 2045 -2763.89 -2721.63
188 935 99814 2022.66 -2786.17 -2721.93
189 940 99813 1993.87 -2799.34 -2712.75
190 945 99812 1958.6 -2803.21 -2694.21
191 950 99811 1916.98 -2797.61 -2666.43
192 955 99810 1869.3 -2782.44 -2629.62
193 960 99809 1816 -2757.8 -2584.08
194 965 99808 1757.58 -2723.97 -2530.23
195 970 99807 1694.5 -2681.39 -2468.55
196 975 99806 1627.11 -2630.56 -2399.5
197 980 99805 1555.58 -2572.02 -2323.5
198 985 99804 1479.9 -2506.19 -2240.87
199 990 99803 1399.91 -2433.41 -2151.85
200 995 99802 1315.41 -2353.89 -2056.65
201 1000 99801 1226.22 -2267.77 -1955.52
202 1005 99800 1132.29 -2175.18 -1848.73
203 1010 99799 1033.8 -2076.27 -1736.64
204 1015 99798 931.133 -1971.3 -1619.63
205 1020 99797 824.878 -1860.66 -1498.09
206 1025 99796 715.713 -1744.86 -1372.37
207 1030 99795 604.332 -1624.49 -1242.79
208 1035 99794 491.342 -1500.22 -1109.67
209 1040 99793 377.2 -1372.67 -973.364
210 1045 99792 262.189 -1242.37 -834.285
211 1050 99791 146.457 -1109.76 -692.947
212 1055 99790 30.0969 -975.185 -549.939
213 1060 99789 -86.7491 -838.911 -405.901
214 1065 99788 -203.796 -701.234 -261.485
215 1070 99787 -320.572 -562.538 -117.332
216 1075 99786 -436.418 -423.342 25.9448
217 1080 99785 -550.546 -284.297 167.743
218 1085 99784 -662.141 -146.141 307.443
219 1090 99783 -770.471 -9.61564 444.38
220 1095 99782 -874.971 124.625 577.847
221 1100 99781 -975.297 256.077 707.115
222 1105 99780 -1071.33 384.402 831.485
223 1110 99779 -1163.1 509.416 950.348
224 1115 99778 -1250.74 631.038 1063.24
225 1120 99777 -1334.39 749.228 1169.84
226 1125 99776 -1414.11 863.928 1270.03
227 1130 99775 -1489.82 975.032 1363.77
228 1135 99774 -1561.3 1082.38 1451.14
229 1140 99773 -1628.19 1185.77 1532.28
230 1145 99772 -1690.01 1284.99 1607.36
231 1150 99771 -1746.26 1379.89 1676.58
232 1155 99770 -1796.42 1470.36 1740.15
233 1160 99769 -1840.08 1556.33 1798.32
234 1165 99768 -1876.94 1637.78 1851.39
235 1170 99767 -1906.84 1714.66 1899.7
236 1175 99766 -1929.67 1786.87 1943.62
237 1180 99765 -1945.35 1854.22 1983.57
238 1185 99764 -1953.66 1916.47 2019.95
239 1190 99763 -1954.24 1973.34 2053.11
240 1195 99762 -1946.55 2024.59 2083.35
241 1200 99761 -1929.9 2070.08 2110.83
242 1205 99760 -1903.6 2109.81 2135.6
243 1210 99759 -1867.05 2143.95 2157.58
244 1215 99758 -1819.85 2172.76 2176.56
245 1220 99757 -1761.82 2196.54 2192.28
246 1225 99756 -1693.01 2215.52 2204.39
247 1230 99755 -1613.59 2229.82 2212.58
248 1235 99754 -1523.82 2239.38 2216.49
249 1240 99753 -1423.96 2244.01 2215.82
250 1245 99752 -1314.29 2243.49 2210.27
251 1250 99751 -1195.15 2237.61 2199.58
252 1255 99750 -1067 2226.28 2183.51
253 1260 99749 -930.515 2209.56 2161.85
254 1265 99748 -786.561 2187.61 2134.44
255 1270 99747 -636.224 2160.7 2101.15
256 1275 99746 -480.725 2129.1 2061.89
257 1280 99745 -321.349 2093.04 2016.61
258 1285 99744 -159.384 2052.68 1965.32
259 1290 99743 3.91432 2008.07 1908.06
260 1295 99742 167.332 1959.25 1844.96
261 1300 99741 329.679 1906.22 1776.27
262 1305 99740 489.769 1849.09 1702.35
263 1310 99739 646.407 1788.04 1623.71
264 1315 99738 798.411 1723.39 1540.95
265 1320 99737 944.648 1655.52 1454.77
266 1325 99736 1084.08 1584.84 1365.86
267 1330 99735 1215.84 1511.7 1274.88
268 1335 99734 1339.2 1436.33 1182.42
269 1340 99733 1453.66 1358.85 1088.97
270 1345 99732 1558.87 1279.29 995.003
271 1350 99731 1654.64 1197.66 900.968
272 1355 99730 1740.88 1114.01 807.374
273 1360 99729 1817.6 1028.51 714.795
274 1365 99728 1884.83 941.418 623.852
275 1370 99727 1942.67 853.111 535.155
276 1375 99726 1991.18 763.981 449.211
277 1380 99725 2030.47 674.39 366.354
278 1385 99724 2060.6 584.609 286.697
279 1390 99723 2081.65 494.794 210.14
280 1395 99722 2093.67 404.995 136.425
281 1400 99721 2096.72 315.201 65.2004
282 1405 99720 2090.86 225.397 -3.90454
283 1410 99719 2076.16 135.628 -71.2331
284 1415 99718 2052.68 46.0338 -137.087
285 1420 99717 2020.51 -43.1504 -201.729
286 1425 99716 1979.72 -131.633 -265.389
287 1430 99715 1930.36 -219.132 -328.273
288 1435 99714 1872.52 -305.431 -390.567
289 1440 99713 1806.25 -390.425 -452.432
290 1445 99712 1731.7 -474.122 -514.025
291 1450 99711 1649.02 -556.6 -575.51
292 1455 99710 1558.49 -637.949 -637.073
293 1460 99709 1460.44 -718.203 -698.915
294 1465 99708 1355.3 -797.321 -761.231
295 1470 99707 1243.56 -875.175 -824.163
296 1475 99706 1125.79 -951.586 -887.743
297 1480 99705 1002.63 -1026.36 -951.851
298 1485 99704 874.776 -1099.33 -1016.2
299 1490 99703 743.044 -1170.35 -1080.38
300 1495 99702 608.298 -1239.32 -1143.85
301 1500 99701 471.444 -1306.12 -1206.1
302 1505 99700 333.405 -1370.68 -1266.65
303 1510 99699 195.088 -1432.88 -1325.12
304 1515 99698 57.3923 -1492.64 -1381.21
305 1520 99697 -78.7799 -1549.87 -1434.72
306 1525 99696 -212.508 -1604.52 -1485.43
307 1530 99695 -342.851 -1656.52 -1533.15
308 1535 99694 -468.873 -1705.77 -1577.59
309 1540 99693 -589.696 -1752.07 -1618.44
310 1545 99692 -704.555 -1795.13 -1655.34
311 1550 99691 -812.845 -1834.55 -1687.98
312 1555 99690 -914.146 -1869.87 -1716.06
313 1560 99689 -1008.21 -1900.67 -1739.41
314 1565 99688 -1094.94 -1926.59 -1757.98
315 1570 99687 -1174.29 -1947.42 -1771.78
316 1575 99686 -1246.29 -1963.12 -1780.91
317 1580 99685 -1310.93 -1973.78 -1785.47
318 1585 99684 -1368.2 -1979.52 -1785.54
319 1590 99683 -1418.09 -1980.47 -1781.15
320 1595 99682 -1460.57 -1976.67 -1772.27
321 1600 99681 -1495.67 -1968.05 -1758.84
322 1605 99680 -1523.52 -1954.47 -1740.73
323 1610 99679 -1544.33 -1935.72 -1717.87
324 1615 99678 -1558.44 -1911.67 -1690.17
325 1620 99677 -1566.27 -1882.22 -1657.6
326 1625 99676 -1568.33 -1847.42 -1620.2
327 1630 99675 -1565.13 -1807.4 -1578.04
328 1635 99674 -1557.13 -1762.36 -1531.18
329 1640 99673 -1544.72 -1712.53 -1479.72
330 1645 99672 -1528.12 -1658.12 -1423.69
331 1650 99671 -1507.43 -1599.28 -1363.12
332 1655 99670 -1482.62 -1536.15 -1297.99
333 1660 99669 -1453.59 -1468.84 -1228.32
334 1665 99668 -1420.2 -1397.47 -1154.13
335 1670 99667 -1382.37 -1322.19 -1075.51
336 1675 99666 -1340.05 -1243.17 -992.592
337 1680 99665 -1293.25 -1160.59 -905.549
338 1685 99664 -1242.03 -1074.59 -814.59
339 1690 99663 -1186.4 -985.285 -719.923
340 1695 99662 -1126.36 -892.733 -621.728
341 1700 99661 -1061.8 -796.976 -520.153
