-0.35262-0.026745i 0.20399+3.9e-05i 0 -0.3195-0.000307i -0.3846+9.5e-05i 0.48665-0.000111i 0.004363+0.000225i 0.1147-7e-06i -0.28868+6.5e-05i 0.47883+0.001718i 0.086874-0.000445i -0.11478+2.7e-05i
0.35246+0.026713i 0.20426+4e-06i 0 -0.17333-0.000328i 0.469+1.8e-05i 0.48665-0.000111i 0.097144-0.000879i -0.061124+0.000228i -0.28868+6.5e-05i -0.16418-0.000175i -0.45812+6.7e-05i -0.11478+2.7e-05i
0.000157+3.2e-05i -0.40825-4.2e-05i 0 0.49283+0.000634i -0.084394-0.000113i 0.48665-0.000111i -0.10151+0.000654i -0.05357-0.000221i -0.28868+6.5e-05i -0.31465-0.001542i 0.37124+0.000378i -0.11478+2.7e-05i
-0.35262-0.026724i 0.20399-1e-05i -0.40825 0.22205+0.000343i -0.18446-5.9e-05i -0.21632 -0.34246+0.002091i -0.29313-0.000557i -0.28868 -0.1991-0.000346i -0.41692+8.6e-05i -0.19115
0.35246+0.026692i 0.20426-4.5e-05i 0.40825 0.27077+0.000339i 0.10007-6.2e-05i -0.21632 -0.43524+0.003278i -0.11731-0.000947i -0.28868 0.44391+0.00157i 0.12807-0.000407i -0.19115
0.000157+3.2e-05i -0.40825+6e-06i 0 -0.49283-0.000526i 0.084394+9.4e-05i -0.054002+2e-06i -0.4396+0.003097i -0.232-0.000818i -0.28868+4e-06i -0.034916-0.00017i 0.041196+4.1e-05i 0.49707-9e-06i
-0.35262-0.026692i 0.20399+4.5e-05i 0.40825 -0.22205-0.000339i 0.18446+6.2e-05i -0.21632 0.3192-0.003278i -0.31828+0.000947i -0.28868 -0.33287-0.00157i 0.32041+0.000407i -0.19115
0.35247+0.026671i 0.20426-2e-05i 0 0.17333+0.000289i -0.469+8.5e-05i -0.054002+2e-06i 0.4207-0.004061i -0.26471+0.001145i -0.28868+4e-06i -0.018219-1.9e-05i -0.050836+9e-06i 0.49707-9e-06i
0.000155+6.4e-05i -0.40825 -0.40825 0.048725-5e-06i 0.28453+1e-06i -0.21632 0.42507-0.003801i -0.15002+0.001013i -0.28868 0.46061+0.001718i 0.036037-0.000426i -0.19115
-0.35262-0.026703i 0.20399+1.4e-05i 0 0.3195+0.000237i 0.3846-0.00018i -0.054002+2e-06i 0.018896+0.000964i 0.49672-0.000327i -0.28868+4e-06i 0.053135+0.000189i 0.00964-5e-05i 0.49707-9e-06i
0.35247+0.02666i 0.20426+1e-05i -0.40825 -0.27077-0.000338i -0.10007+5.8e-05i -0.21632 -0.082611+0.00171i 0.44314-0.000455i -0.28868 -0.26151-0.001372i 0.38088+0.00034i -0.19115
0.000159 -0.40825 0.40825 -0.048725 -0.28453 -0.21632 0.11604 0.43559 -0.28868 -0.11105 -0.44848 -0.19115
-3.9e-05+0.35355i 0.16242+3e-05i -0.17103-0.000131i -2.3e-05-0.44475i -2.9e-05+0.35355i 1e-06+0.20488i 0.15189+7e-06i 0.24642-0.000583i -0.31404+0.00098i -0.44461+5.7e-05i 0-0.1011i 0.25353-2.9e-05i
3.9e-05-0.35355i 0.16242+3e-05i 0.17103+0.000131i -2.3e-05-0.44475i 2.9e-05-0.35355i 1e-06+0.20488i -0.15189-7e-06i 0.24642-0.000583i -0.31404+0.00098i 0.44461-5.7e-05i 0-0.1011i 0.25353-2.9e-05i
