9.0808e-12 8.6517e-12 4.0499e-12 3.7916e-12 3.6002e-12 4.4527e-12 3.2511e-12 2.766e-12 1.1523e-12 1.6728e-12 2.4301e-12 1.3863e-12 1.6906e-12 1.411e-12 2.397e-12 1.201e-12 8.8621e-13 1.0021e-12 5.8909e-13 6.1481e-13 1.2185e-12 1.1699e-12 1.6841e-12 1.6295e-12
8.2498e-12 9.7936e-12 8.1756e-12 4.0675e-12 3.783e-12 2.5898e-12 3.0429e-12 2.2344e-12 1.5451e-12 1.78e-12 1.4465e-12 1.8606e-12 1.8523e-12 1.1313e-12 1.3187e-12 1.1722e-12 9.5859e-13 1.4592e-12 7.9091e-13 8.2517e-13 1.0025e-12 1.126e-12 1.4132e-12 1.452e-12
1.2182e-11 8.6747e-12 6.2627e-12 3.4195e-12 1.8144e-12 2.9686e-12 2.7375e-12 2.81e-12 1.864e-12 1.3474e-12 2.4019e-12 2.0899e-12 1.0666e-12 1.2826e-12 1.1388e-12 1.5013e-12 1.3929e-12 9.7016e-13 9.167e-13 6.9645e-13 1.0332e-12 1.1625e-12 1.1006e-12 1.1061e-12
1.0146e-11 8.7178e-12 6.9463e-12 3.7829e-12 3.5988e-12 2.9923e-12 3.0205e-12 2.4786e-12 1.3757e-12 1.7445e-12 1.5986e-12 1.9968e-12 2.0391e-12 1.1428e-12 1.2747e-12 1.0746e-12 9.7449e-13 1.3278e-12 7.63e-13 8.4276e-13 9.818e-13 1.2022e-12 1.2396e-12 1.5621e-12
1.0876e-11 9.8042e-12 4.6434e-12 4.587e-12 3.4314e-12 3.7921e-12 3.1596e-12 3.3521e-12 1.044e-12 1.4899e-12 1.9157e-12 1.872e-12 2.0085e-12 1.45e-12 2.2637e-12 1.1285e-12 8.2699e-13 8.4825e-13 5.4744e-13 6.6157e-13 1.31e-12 1.1884e-12 1.8614e-12 1.5484e-12
6.2945e-12 5.8301e-12 4.861e-12 4.756e-12 4.617e-12 4.5781e-12 3.3481e-12 3.188e-12 1.5418e-12 1.3247e-12 1.3869e-12 1.6595e-12 1.5337e-12 1.5724e-12 1.3732e-12 1.4085e-12 7.0628e-13 6.5486e-13 6.6257e-13 6.0537e-13 1.6892e-12 1.5707e-12 1.7401e-12 1.6527e-12
7.7745e-12 8.7999e-12 7.9938e-12 3.5977e-12 4.0694e-12 2.7644e-12 2.9058e-12 2.5429e-12 1.5547e-12 1.8973e-12 1.3942e-12 1.9448e-12 1.8255e-12 1.1694e-12 1.4443e-12 1.0491e-12 9.764e-13 1.4e-12 7.2163e-13 8.4307e-13 9.9377e-13 1.2931e-12 1.3072e-12 1.5445e-12
1.8223e-11 1.6056e-11 9.2204e-12 7.3835e-12 1.8262e-12 2.7606e-12 2.9355e-12 1.6091e-12 2.2214e-12 2.4804e-12 1.3882e-12 2.0648e-12 2.4501e-12 1.1559e-12 7.5005e-13 1.3789e-12 1.6985e-12 1.4732e-12 7.3604e-13 7.5642e-13 7.8623e-13 1.2642e-12 1.5874e-12 1.3205e-12
2.4878e-11 1.1563e-11 1.2957e-11 4.8817e-12 4.1479e-12 2.29e-12 4.1762e-12 2.2482e-12 3.6531e-12 2.3061e-12 1.1304e-12 1.3124e-12 2.4489e-12 2.5962e-12 8.8783e-13 1.2911e-12 1.917e-12 6.5646e-13 1.934e-12 8.1576e-13 9.1718e-13 1.3542e-12 1.3547e-12 1.5436e-12
1.4732e-11 1.5019e-11 8.9544e-12 7.6304e-12 2.0855e-12 2.6061e-12 3.2349e-12 1.8309e-12 2.7779e-12 2.899e-12 1.2368e-12 2.3227e-12 2.0882e-12 1.0772e-12 7.7001e-13 1.3055e-12 1.7657e-12 1.6165e-12 7.6082e-13 8.3485e-13 7.6029e-13 1.2462e-12 1.5144e-12 1.6849e-12
9.1622e-12 9.2613e-12 7.8725e-12 3.8967e-12 4.0022e-12 2.6384e-12 2.9846e-12 2.507e-12 1.4641e-12 1.5598e-12 1.6488e-12 2.1706e-12 1.6925e-12 1.3126e-12 1.3254e-12 1.0432e-12 9.8786e-13 1.2721e-12 7.6294e-13 9.4538e-13 1.0381e-12 1.2829e-12 1.3977e-12 1.512e-12
5.2169e-12 4.8784e-12 4.4122e-12 5.1846e-12 3.8696e-12 3.5337e-12 2.5593e-12 2.8532e-12 1.5936e-12 1.6995e-12 1.8076e-12 2.1643e-12 1.3622e-12 1.5171e-12 1.3801e-12 1.2538e-12 1.1158e-12 1.1134e-12 9.7999e-13 8.5726e-13 1.0166e-12 1.2074e-12 1.0451e-12 1.0711e-12
